OrderID,BuyerID,TransactionDate,Amount,Currency,PaymentMethod,ChargebackFiled,PreviousChargebacks,AVSMatch,BillingAddressMatch,ShippingProof,DeliveryProof,BankAddressMatch,BuyerCountry,OrderPlatform,SellerID,DiscrepancyReported,InsightGenerated,DisputeResolved
e3e70682-c209-4cac-a29f-6fbed82c07cd,a7e139fa-104a-4e86-aaa2-223eea9552eb,2024-03-04,278.92,INR,PayPal,1,3,N,N,Provided,Delivered,Y,Monaco,Shopify,7726fa3f-de1b-4f65-8c84-2ec347cb5da1,No,No,No
f728b4fa-4248-4e3a-8a5d-2f346baa9455,06a0766f-027d-463a-858b-fd1a1efab59b,2024-09-20,360.44,INR,Credit Card,0,1,Y,Y,Not Provided,Not Delivered,N,Grenada,Amazon,98925d21-57e3-4375-8823-b74ef76047c5,No,No,No
eb1167b3-67a9-4378-bc65-c1e582e2e662,70d33468-54b4-4129-b22c-f2bcabc5c26a,2023-12-17,305.35,USD,Bank Transfer,0,3,Y,Y,Not Provided,Not Delivered,Y,Holy See (Vatican City State),Etsy,a06d68f1-8ac9-4b03-85a8-ce6fff27fa5b,Yes,Yes,No
f7c1bd87-4da5-4709-9471-3d60c8a70639,0bc40833-4c9c-4699-9ce4-97763b66ef06,2023-06-19,276.99,GBP,Bank Transfer,1,3,Y,N,Provided,Delivered,Y,Cayman Islands,eBay,8a7689f5-2a62-456c-a305-4fc2130efb2c,Yes,Yes,Yes
e443df78-9558-467f-9ba9-1faf7a024204,9949ebde-6962-45cd-b120-51ce4dd1fe6f,2025-01-15,217.59,AUD,PayPal,0,2,N,N,Provided,Not Delivered,Y,Slovenia,Amazon,bce33a53-f921-4c43-8300-688b69a45f19,No,No,No
23a7711a-8133-4876-b7eb-dcd9e87a1613,c68c5dce-41a9-40d2-bd1e-065cc2cc866c,2024-06-02,326.49,INR,Credit Card,0,1,Y,N,Provided,Delivered,N,Timor-Leste,eBay,1cb2f3f3-3315-4964-ae38-631f2395e230,No,No,Yes
1846d424-c17c-4279-a3c6-612f48268673,c2e5704b-a00b-4163-8f84-391ebc9880b2,2025-04-08,224.42,INR,PayPal,0,1,Y,N,Not Provided,Not Delivered,N,Gibraltar,Etsy,a8acbe12-13e5-4986-97ac-9121a8fe0cdb,No,Yes,Yes
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,52c69b80-f085-4e58-a7ea-bd1258f4036e,2024-02-06,446.97,GBP,Bank Transfer,1,2,N,Y,Not Provided,Delivered,Y,Maldives,Etsy,90a29f58-d209-4030-91d1-40baba786148,Yes,No,Yes
b4862b21-fb97-4435-8856-1712e8e5216a,2a797be2-8bd6-494b-b923-0756d1f5d93b,2023-09-15,482.19,INR,PayPal,1,0,Y,Y,Provided,Delivered,Y,Chile,eBay,3bce4138-72bf-43a2-8b6b-56e53d8a2323,Yes,Yes,No
259f4329-e6f4-490b-9a16-4106cf6a659e,9c51d100-4398-4710-a63c-741c918fc5db,2024-09-20,197.89,GBP,Bank Transfer,0,3,Y,N,Provided,Not Delivered,N,Argentina,Amazon,02848976-eb70-4108-a6ce-8bbe99d1d4bf,No,Yes,Yes
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,84be45f0-1cb7-4132-ae48-d02935f4a043,2024-03-29,397.95,AUD,Bank Transfer,0,3,N,Y,Provided,Delivered,N,Svalbard & Jan Mayen Islands,Etsy,b0a573fa-f088-4fd3-a616-fa9ab09976dc,Yes,Yes,No
5487ce1e-af19-422a-99b8-a714e61a441c,1d0dd7a0-95af-4cc6-82f1-39a95ec1ae70,2024-08-28,269.16,EUR,Credit Card,1,3,Y,Y,Provided,Delivered,N,Guam,Amazon,35ce1df9-f9a3-493a-a5b9-86bab9ed60a4,No,No,Yes
5a921187-19c7-4df4-8f4f-f31e78de5857,4b598736-8db2-4d26-ae48-015c76278224,2025-02-21,288.34,AUD,PayPal,0,0,N,Y,Provided,Not Delivered,N,Ecuador,Amazon,a3cd678b-755e-4941-b576-f3fdd9278fb7,No,No,Yes
a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,64c94b7b-0829-424d-8428-cd6420026245,2024-09-11,463.54,EUR,Bank Transfer,1,3,N,Y,Provided,Not Delivered,N,Mayotte,eBay,f0e4e5f8-3a01-4fa6-a920-9573c39ab47c,No,No,No
8d723104-f773-43c1-b458-a748e9bb17bc,d8a78b8e-4657-4b3d-b862-b82a4e23a1c8,2024-04-12,44.81,GBP,PayPal,1,0,N,N,Provided,Not Delivered,Y,Argentina,Shopify,c41da176-9f30-4bd8-a007-e690ef092aad,Yes,Yes,Yes
85776e9a-dd84-439e-b154-5a137a1d5006,c311b91b-903e-46e7-a827-2c70861b8c9b,2023-10-08,52.69,EUR,PayPal,1,2,Y,N,Provided,Delivered,N,Belgium,Amazon,d239d634-ce3b-45d5-9e65-c50879f8d684,Yes,Yes,No
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,c9f360f3-3e7f-47d1-b854-219bd8cddf03,2023-06-11,19.91,USD,Credit Card,1,0,N,N,Provided,Not Delivered,N,Western Sahara,Etsy,2af326be-f750-4942-b48f-152d30311734,No,Yes,No
